scheme,scenario,probability,worst_single_event,epsilon,individually_allowed
3A,train_000890,0.0155,0.9999999999999992,0.0,false
3A,train_001527,0.0085,0.9999999999999994,0.0,false
3A,train_001236,0.0115,0.9999999999999993,0.0,false
3A,train_001785,0.008,0.9999999999999992,0.0,false
3A,train_001372,0.0105,0.9999999999999993,0.0,false
3A,train_000158,0.003,0.9999999999999994,0.0,false
3A,train_000511,0.0165,0.9999999999999994,0.0,false
3A,train_001107,0.015,0.9999999999999992,0.0,false
3A,train_000274,0.0125,0.9999999999999992,0.0,false
3A,train_000961,0.001,0.9999999999999996,0.0,false
3A,train_001712,0.0105,0.9999999999999993,0.0,false
3A,train_001447,0.003,0.9999999999999993,0.0,false
3A,train_000886,0.0075,0.9999999999999992,0.0,false
3A,train_000492,0.007,0.9999999999999992,0.0,false
3A,train_000959,0.013,0.9999999999999994,0.0,false
3A,train_000826,0.0165,0.9999999999999993,0.0,false
3A,train_000286,0.008,0.9999999999999992,0.0,false
3A,train_000787,0.005,0.9999999999999991,0.0,false
3A,train_000473,0.005,0.9999999999999994,0.0,false
3A,train_001184,0.004,0.9999999999999993,0.0,false
3A,train_000373,0.01,0.9999999999999993,0.0,false
3A,train_001370,0.0145,0.9999999999999992,0.0,false
3A,train_000994,0.01,0.9999999999999994,0.0,false
3A,train_001225,0.0155,0.9999999999999993,0.0,false
3A,train_000460,0.018,0.9999999999999993,0.0,false
3A,train_001357,0.002,0.9999999999999992,0.0,false
3A,train_001718,0.0105,0.9999999999999993,0.0,false
3A,train_001838,0.012,0.9999999999999993,0.0,false
3A,train_001846,0.01,0.9999999999999993,0.0,false
3A,train_000681,0.0075,0.9999999999999991,0.0,false
3A,train_000965,0.0095,0.9999999999999994,0.0,false
3A,train_001625,0.0135,0.9999999999999991,0.0,false
3A,train_000363,0.0155,0.9999999999999994,0.0,false
3A,train_001827,0.011,0.9999999999999993,0.0,false
3A,train_000236,0.009,0.9999999999999992,0.0,false
3A,train_000735,0.014,0.9999999999999992,0.0,false
3A,train_000755,0.013,0.9999999999999993,0.0,false
3A,train_000570,0.0115,0.9999999999999996,0.0,false
3A,train_001488,0.0055,0.9999999999999996,0.0,false
3A,train_001852,0.0225,0.9999999999999992,0.0,false
3A,train_001005,0.0035,0.9999999999999991,0.0,false
3A,train_000002,0.007,0.9999999999999992,0.0,false
3A,train_000281,0.01,0.9999999999999993,0.0,false
3A,train_001573,0.0055,0.9999999999999992,0.0,false
3A,train_000720,0.0035,0.9999999999999992,0.0,false
3A,train_001668,0.012,0.9999999999999992,0.0,false
3A,train_001819,0.0035,0.9999999999999994,0.0,false
3A,train_000451,0.0175,0.999999999999999,0.0,false
3A,train_001071,0.0135,0.9999999999999994,0.0,false
3A,train_000612,0.0065,0.9999999999999992,0.0,false
3A,train_001285,0.0215,0.9999999999999992,0.0,false
3A,train_000458,0.0095,0.9999999999999994,0.0,false
3A,train_001482,0.0105,0.9999999999999993,0.0,false
3A,train_000087,0.015,0.9999999999999993,0.0,false
3A,train_001275,0.0045,0.9999999999999993,0.0,false
3A,train_001041,0.012,0.9999999999999993,0.0,false
3A,train_000197,0.009,0.9999999999999994,0.0,false
3A,train_001878,0.0085,0.9999999999999992,0.0,false
3A,train_001743,0.005,0.9999999999999993,0.0,false
3A,train_000669,0.0095,0.9999999999999993,0.0,false
3A,train_000592,0.005,0.9999999999999992,0.0,false
3A,train_001134,0.0075,0.9999999999999992,0.0,false
3A,train_000330,0.0135,0.9999999999999993,0.0,false
3A,train_001883,0.0105,0.9999999999999993,0.0,false
3A,train_001339,0.0135,0.9999999999999993,0.0,false
3A,train_001295,0.0145,0.9999999999999991,0.0,false
3A,train_000688,0.012,0.9999999999999992,0.0,false
3A,train_001753,0.005,0.9999999999999992,0.0,false
3A,train_000006,0.011,0.9999999999999996,0.0,false
3A,train_000928,0.0085,0.9999999999999992,0.0,false
3A,train_000666,0.012,0.9999999999999994,0.0,false
3A,train_001092,0.0105,0.9999999999999993,0.0,false
3A,train_000855,0.005,0.9999999999999996,0.0,false
3A,train_001771,0.0115,0.9999999999999994,0.0,false
3A,train_001635,0.011,0.9999999999999992,0.0,false
3A,train_001037,0.012,0.9999999999999991,0.0,false
3A,train_001667,0.012,0.9999999999999992,0.0,false
3A,train_000931,0.008,0.9999999999999994,0.0,false
3A,train_001340,0.0175,0.9999999999999993,0.0,false
3A,train_001413,0.011,0.9999999999999992,0.0,false
3A,train_000721,0.008,0.9999999999999993,0.0,false
3A,train_000232,0.0055,0.9999999999999993,0.0,false
3A,train_000601,0.007,0.9999999999999992,0.0,false
3A,train_001414,0.004,0.9999999999999992,0.0,false
3A,train_000700,0.0095,0.9999999999999993,0.0,false
3A,train_000814,0.007,0.9999999999999994,0.0,false
3A,train_001700,0.01,0.9999999999999993,0.0,false
3A,train_000946,0.013,0.9999999999999996,0.0,false
3A,train_000317,0.007,0.9999999999999994,0.0,false
3A,train_000535,0.0135,0.9999999999999994,0.0,false
3A,train_001051,0.0095,0.9999999999999992,0.0,false
3A,train_000438,0.012,0.9999999999999994,0.0,false
3A,train_000208,0.013,0.9999999999999992,0.0,false
3A,train_000555,0.0115,0.9999999999999992,0.0,false
3A,train_000547,0.0085,0.9999999999999992,0.0,false
3A,train_000051,0.0055,0.9999999999999991,0.0,false
3A,train_000751,0.0125,0.9999999999999993,0.0,false
3A,train_001183,0.0055,0.9999999999999992,0.0,false
3A,train_001860,0.012,0.9999999999999993,0.0,false
3A,train_000328,0.01,0.9999999999999991,0.0,false
3B,train_000890,0.0155,0.0155,0.05,true
3B,train_001527,0.0085,0.0085,0.05,true
3B,train_001236,0.0115,0.0115,0.05,true
3B,train_001785,0.008,0.008,0.05,true
3B,train_001372,0.0105,0.0105,0.05,true
3B,train_000158,0.003,0.003,0.05,true
3B,train_000511,0.0165,0.0165,0.05,true
3B,train_001107,0.015,0.015,0.05,true
3B,train_000274,0.0125,0.0125,0.05,true
3B,train_000961,0.001,0.001,0.05,true
3B,train_001712,0.0105,0.0105,0.05,true
