stage,run_id,time_h,device,kind,P_MW,H_MW
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.0,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.0,CHP2,CHP,3.4,4.08
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.0,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.0,EB2,EB,0.38086298817752373,0.3542025790050971
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.0,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.0,PV1,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.0,PV2,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.0,PV3,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.25,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.25,CHP2,CHP,3.4,4.08
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.25,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.25,EB2,EB,0.3808629881772315,0.3542025790048253
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.25,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.25,PV1,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.25,PV2,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.25,PV3,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.5,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.5,CHP2,CHP,3.4,4.08
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.5,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.5,EB2,EB,0.3896223651835481,0.36234879962069977
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.5,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.5,PV1,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.5,PV2,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.5,PV3,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.75,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.75,CHP2,CHP,3.4,4.08
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.75,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.75,EB2,EB,0.3983817421898647,0.3704950202365742
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.75,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.75,PV1,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.75,PV2,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,0.75,PV3,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,1.0,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,1.0,CHP2,CHP,3.4,4.08
normal,74e43db5-0140-48be-8aa3-645aabf7a397,1.0,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,1.0,EB2,EB,0.4044189683535305,0.3761096405687834
normal,74e43db5-0140-48be-8aa3-645aabf7a397,1.0,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,1.0,PV1,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,1.0,PV2,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,1.0,PV3,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,1.25,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,1.25,CHP2,CHP,3.4,4.08
normal,74e43db5-0140-48be-8aa3-645aabf7a397,1.25,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,1.25,EB2,EB,0.41211373217770586,0.3832657709252665
normal,74e43db5-0140-48be-8aa3-645aabf7a397,1.25,GT1,GT,0.0,0.0
