stage,run_id,block,formula,rows,maximum_normalized,raw_residual,tolerance,unit,all_pass
normal,74e43db5-0140-48be-8aa3-645aabf7a397,model,6-1,1,0.0,0.0,0.4974835978738366,CNY,true
normal,74e43db5-0140-48be-8aa3-645aabf7a397,model,6-11,768,1.0831444142684455e-10,8.881784197001252e-16,8.2e-6,MW,true
normal,74e43db5-0140-48be-8aa3-645aabf7a397,model,6-12-ch,768,0.0,0.0,2.7877279102384292e-5,MW,true
normal,74e43db5-0140-48be-8aa3-645aabf7a397,model,6-12-dis,768,0.0,0.0,2.7877279102384292e-5,MW,true
normal,74e43db5-0140-48be-8aa3-645aabf7a397,model,6-13-zero,776,0.0,0.0,1.8130416666666662e-5,MWh,true
normal,74e43db5-0140-48be-8aa3-645aabf7a397,model,6-18:19,4224,3.1860298002474744e-10,8.881784197001252e-15,2.7877279102384292e-5,MW,true
normal,74e43db5-0140-48be-8aa3-645aabf7a397,model,6-2,192,0.0,0.0,9.499999999999999e-6,MW,true
normal,74e43db5-0140-48be-8aa3-645aabf7a397,model,6-20,4224,7.666384206845486e-11,2.1371793224034263e-15,2.7877279102384292e-5,Mvar,true
normal,74e43db5-0140-48be-8aa3-645aabf7a397,model,6-22,4224,0.0,0.0,1.0e-6,pu,true
normal,74e43db5-0140-48be-8aa3-645aabf7a397,model,6-24:25,9024,0.0,0.0,2.7877279102384292e-5,MW,true
normal,74e43db5-0140-48be-8aa3-645aabf7a397,model,6-26,3648,9.60388857912098e-9,2.677302823883565e-13,2.7877279102384292e-5,MW,true
normal,74e43db5-0140-48be-8aa3-645aabf7a397,model,6-27:29,14592,0.0,0.0,0.0001,K,true
normal,74e43db5-0140-48be-8aa3-645aabf7a397,model,6-28,3648,9.956343125773359e-13,2.7755575615628914e-17,2.7877279102384292e-5,MW,true
normal,74e43db5-0140-48be-8aa3-645aabf7a397,model,6-3,192,0.0,0.0,9.499999999999999e-6,Mvar,true
normal,74e43db5-0140-48be-8aa3-645aabf7a397,model,6-35,7296,0.0,0.0,1.0,Pa,true
normal,74e43db5-0140-48be-8aa3-645aabf7a397,model,6-36,3648,0.0,0.0,1.0,Pa,true
