scheme,group,count,failed,normalized
3B,physical/electric/pu,211200,0,5.519362744621503e-6
3B,physical/delivery/MWh,100,0,2.9736333349760633e-9
3B,physical/heat/MW,177600,0,2.434052959188193e-7
3B,physical/heat/kg/s,91200,0,1.541997669751509e-10
3B,physical/electric/Mvar,225600,0,2.708216164987267e-9
3B,risk/first_stage/MW,96,0,0.0
3B,physical/electric/MW,314400,0,1.038313002028902e-8
3B,risk/comfort_link/K,86400,0,0.0
3B,physical/cost/CNY,100,0,2.1416473774819616e-8
3B,risk/cost/CNY,2,0,4.400645296195718e-10
3B,risk/risk/1,3,0,0.0
3B,physical/auxiliary/MW,2400,0,2.927654783558825e-9
3B,physical/heat/1,177600,0,1.7763568394002505e-9
3B,physical/comfort/MWh,86400,0,1.247661696179847e-7
3B,risk/embedded/1,4,0,1.3890468730604998e-10
3B,physical/delivery/MW,4800,0,1.0509383362017374e-10
3B,risk/branch/1,1,0,0.0
3B,physical/comfort/K,176400,0,1.2221335055073723e-7
3B,physical/heat/K,633600,0,2.5011104298755527e-8
3C,physical/electric/pu,211200,0,5.519362744621503e-6
3C,physical/delivery/MWh,100,0,2.9736333349760633e-9
3C,physical/heat/MW,177600,0,2.434052959188193e-7
3C,physical/heat/kg/s,91200,0,1.541997669751509e-10
3C,physical/electric/Mvar,225600,0,2.708216164987267e-9
3C,risk/first_stage/MW,96,0,0.0
3C,physical/electric/MW,314400,0,1.038313002028902e-8
3C,risk/comfort_link/K,86400,0,0.0
3C,physical/cost/CNY,100,0,2.1416473774819616e-8
3C,risk/cost/CNY,2,0,4.400645296195718e-10
3C,risk/risk/1,3,0,0.0
3C,physical/auxiliary/MW,2400,0,2.927654783558825e-9
3C,physical/heat/1,177600,0,1.7763568394002505e-9
3C,physical/comfort/MWh,86400,0,1.247661696179847e-7
3C,risk/embedded/1,4,0,1.3890468730604998e-10
3C,physical/delivery/MW,4800,0,1.0509383362017374e-10
3C,risk/branch/1,1,0,0.0
3C,physical/comfort/K,176400,0,1.2221335055073723e-7
3C,physical/heat/K,633600,0,2.5011104298755527e-8
