method,stage_index,stage,actor,termination,model_pass,objective_kind,objective
independent-socp,1,local,2,OPTIMAL,true,local_resource_plus_retail,16356.91627193412
independent-socp,2,local,3,OPTIMAL,true,local_resource_plus_retail,22195.927279909825
independent-socp,3,local,4,OPTIMAL,true,local_resource_plus_retail,50440.53787381387
independent-socp,4,local,5,OPTIMAL,true,local_resource_plus_retail,63882.00577367133
independent-socp,5,local,6,OPTIMAL,true,local_resource_plus_retail,44436.30399399525
independent-socp,6,local,7,OPTIMAL,true,local_resource_plus_retail,61114.69241452617
independent-socp,7,local,8,OPTIMAL,true,local_resource_plus_retail,62933.853868327584
independent-socp,8,local,9,OPTIMAL,true,local_resource_plus_retail,8165.115005495514
independent-socp,9,network,0,INFEASIBLE,false,system_resource_cost,NaN
independent-exact,1,local,2,OPTIMAL,true,local_resource_plus_retail,16356.91627193412
independent-exact,2,local,3,OPTIMAL,true,local_resource_plus_retail,22195.927279909825
independent-exact,3,local,4,OPTIMAL,true,local_resource_plus_retail,50440.53787381387
independent-exact,4,local,5,OPTIMAL,true,local_resource_plus_retail,63882.00577367133
independent-exact,5,local,6,OPTIMAL,true,local_resource_plus_retail,44436.30399399525
independent-exact,6,local,7,OPTIMAL,true,local_resource_plus_retail,61114.69241452617
independent-exact,7,local,8,OPTIMAL,true,local_resource_plus_retail,62933.853868327584
independent-exact,8,local,9,OPTIMAL,true,local_resource_plus_retail,8165.115005495514
independent-exact,9,network,0,INFEASIBLE,false,system_resource_cost,NaN
central-socp,1,central,0,INFEASIBLE,false,system_resource_cost,NaN
central-exact,1,central,0,INFEASIBLE,false,system_resource_cost,NaN
